date,ad_unit,adx_impressions,adx_revenue,avg_adx_cpm
2024/1/31,s_t-mall_300x250_tmall-sitetop-site-under_28666,6518,787,121
2024/1/31,s_t-mall_300x250_tpoint-sugoroku-site-under1_28666,4672,223,48
2024/1/31,s_t-mall_300x250_under-global-navigation_28666,2482,70,28
2024/1/31,s_t-mall_300x250_homepage-under1_28666,18,0,17
2024/1/31,s_t-mall_300x250_mypage-under1_28666,2,0,49
2024/1/31,s_t-mall_300x250_pagekabu1_28666,2127,1441,678
2024/1/31,s_t-mall_300x250_shoppingpage-under1_28666,9,0,26
2024/1/31,s_t-mall_320x100_homepage-middle_28666,11,0,17
2024/1/31,s_t-mall_320x100_shoppingpage-middle_28666,6,0,9
2024/1/31,s_t-mall_320x100_sitetop-above-newshop_28666,29483,1045,35
2024/1/31,s_t-mall_320x100_sitetop-above-popular-content_28666,19118,439,23
2024/1/31,s_t-mall_320x50_tmall-mainichiquiz-site-under_28666,25232,917,36
2024/1/31,s_t-mall_320x50_tmall-minigames-site-under_28666,3422,213,62
2024/1/31,s_t-mall_320x50_tmall-moguratataki-site-under_28666,3850,38,10
2024/1/31,s_t-mall_320x50_tmall-crushice-site-under_28666,3046,103,34
2024/1/31,s_t-mall_320x50_tmall-furufuru-site-under_28666,7812,98,13
2024/1/31,s_t-mall_320x50_tmall-gamelist-gamelist_28666,6254,68,11
2024/1/31,s_t-mall_320x50_tmall-roulette_28666,3819,428,112
2024/1/31,s_t-mall_320x50_tmall-suizokukan-site-under_28666,517,216,418
2024/1/31,s_t-mall_320x50_tmall-slot-site-under_28666,2021,189,94
2024/1/31,s_t-mall_320x50_tpoint-sugoroku-mainvisual-under_28666,41683,481,12
2024/1/31,s_t-monita_300x250_allpages-site-under_30535,7103,2586,364
2024/1/31,s_takarakujinet_300x250_sp-kijinaka-rectangle-shita_30070,4,0,61
2024/1/31,s_takarakujinet_300x250_sp-kijinaka-rectangle-ue_30070,4,0,75
2024/1/31,s_talentinsta.n_0x0_footertop_12090,44,1,14
2024/1/31,s_talentinsta_300x250_InterstitialADX_6039,15,2,158
2024/1/31,s_talentinsta_300x250_middle1sttalent_6039_dfp,98,2,17
2024/1/31,s_talentinsta_300x250_middle1sttop_6039_dfp,41,0,10
2024/1/31,s_talentinsta_300x250_middle2ndtalent_6039_dfp,335,10,28
2024/1/31,s_talentinsta_320x100_overlay_6039,583,16,28
2024/1/31,s_talentinsta_320x100_headertalent_6039_dfp,167,3,20
2024/1/31,s_talentinsta_336x280_firstview_6039,275,14,51
2024/1/31,s_tennisclassic_300x250_Interstitial_27986,326,77,235
2024/1/31,s_tennisclassic_300x250_sp-article-300x250-inread_27986,348,14,40
2024/1/31,s_tennisclassic_300x250_sp-article-300x250-underarticle-1st_27986,400,13,32
2024/1/31,s_tennisclassic_300x250_sp-article-300x250-underarticle-2nd_27986,374,9,25
2024/1/31,s_tennisclassic_300x250_sp-article-300x250-underarticle-3rd_27986,338,8,24
2024/1/31,s_tennisclassic_300x250_sp-gallery-300x250-underarticle-1st_27986,53,1,21
2024/1/31,s_tennisclassic_300x250_sp-gallery-300x250-underarticle-2nd_27986,51,1,20
2024/1/31,s_tennisclassic_300x250_sp-pre-article-300x250-1st_27986,674,26,39
2024/1/31,s_tennisclassic_300x250_sp-pre-article-300x250-2nd_27986,406,12,30
2024/1/31,s_tennisclassic_300x250_sp-top-300x250-2nd_27986,10,0,17
2024/1/31,s_tennisclassic_320x100_overlay_27986,1501,69,46
2024/1/31,s_tennisclassic_320x100_sp-article-320x100-ATF_27986,498,19,38
2024/1/31,s_tennisclassic_320x100_sp-gallery-320x100-ATF_27986,61,1,23
2024/1/31,s_tennisclassic_320x100_sp-gallery-320x100-underpic_27986,46,1,21
2024/1/31,s_tennisclassic_320x100_sp-pre-article-320x100-ATF_27986,294,23,78
